date,symbol,sales
8/17/2010,AAPL,35.99571614
8/18/2010,AAPL,36.15285871
8/19/2010,AAPL,35.69714357
8/20/2010,AAPL,35.662857
8/23/2010,AAPL,35.11428457
8/24/2010,AAPL,34.27571486
8/25/2010,AAPL,34.69857029
8/26/2010,AAPL,34.32571414
8/27/2010,AAPL,34.51714329
8/30/2010,AAPL,34.64285657
8/31/2010,AAPL,34.72857286
9/1/2010,AAPL,35.76142886
9/2/2010,AAPL,36.02428443
9/3/2010,AAPL,36.967144
9/7/2010,AAPL,36.83000186
9/8/2010,AAPL,37.56000143
9/9/2010,AAPL,37.58142857
9/10/2010,AAPL,37.630001
9/13/2010,AAPL,38.148571
9/14/2010,AAPL,38.29428486
9/15/2010,AAPL,38.60285571
9/16/2010,AAPL,39.50999829
9/17/2010,AAPL,39.33856957
9/20/2010,AAPL,40.46142957
9/21/2010,AAPL,40.53857043
9/22/2010,AAPL,41.10714343
9/23/2010,AAPL,41.27428443
9/24/2010,AAPL,41.75999829
9/27/2010,AAPL,41.594284
9/28/2010,AAPL,40.97999957
9/29/2010,AAPL,41.05285643
9/30/2010,AAPL,40.53571314
10/1/2010,AAPL,40.36000057
10/4/2010,AAPL,39.80571371
10/5/2010,AAPL,41.27714157
10/6/2010,AAPL,41.31285857
10/7/2010,AAPL,41.31714243
10/8/2010,AAPL,42.00999829
10/11/2010,AAPL,42.19428629
10/12/2010,AAPL,42.648571
10/13/2010,AAPL,42.87714386
10/14/2010,AAPL,43.18714143
10/15/2010,AAPL,44.96285629
10/18/2010,AAPL,45.42856986
10/19/2010,AAPL,44.21285629
10/20/2010,AAPL,44.36142729
10/21/2010,AAPL,44.217144
10/22/2010,AAPL,43.92428586
10/25/2010,AAPL,44.119999
10/26/2010,AAPL,44.00714114
10/27/2010,AAPL,43.97571557
10/28/2010,AAPL,43.60571286
10/29/2010,AAPL,42.99714286
11/1/2010,AAPL,43.45428471
11/2/2010,AAPL,44.19428629
11/3/2010,AAPL,44.68571471
11/4/2010,AAPL,45.467144
11/5/2010,AAPL,45.304287
11/8/2010,AAPL,45.51714329
11/9/2010,AAPL,45.15428543
11/10/2010,AAPL,45.43285757
11/11/2010,AAPL,45.235714
11/12/2010,AAPL,44.00428386
11/15/2010,AAPL,43.86285786
11/16/2010,AAPL,43.08428571
11/17/2010,AAPL,42.92856986
11/18/2010,AAPL,44.061428
11/19/2010,AAPL,43.818573
11/22/2010,AAPL,44.76571271
11/23/2010,AAPL,44.10428614
11/24/2010,AAPL,44.97142786
11/26/2010,AAPL,45
11/29/2010,AAPL,45.26714329
11/30/2010,AAPL,44.45000071
12/1/2010,AAPL,45.20000071
12/2/2010,AAPL,45.45000071
12/3/2010,AAPL,45.34857171
12/6/2010,AAPL,45.735714
12/7/2010,AAPL,45.45857243
12/8/2010,AAPL,45.85857014
12/9/2010,AAPL,45.68000029
12/10/2010,AAPL,45.79428486
