,date,symbol,sales
177,9/16/2010,AAPL,7.0
178,9/17/2010,AAPL,7.0
179,9/20/2010,AAPL,8.0
180,9/21/2010,AAPL,8.0
181,9/22/2010,AAPL,8.0
182,9/23/2010,AAPL,8.0
183,9/24/2010,AAPL,8.0
184,9/27/2010,AAPL,8.0
185,9/28/2010,AAPL,8.0
186,9/29/2010,AAPL,8.0
187,9/30/2010,AAPL,8.0
188,10/1/2010,AAPL,8.0
189,10/4/2010,AAPL,7.0
190,10/5/2010,AAPL,8.0
191,10/6/2010,AAPL,8.0
192,10/7/2010,AAPL,8.0
193,10/8/2010,AAPL,8.0
194,10/11/2010,AAPL,8.0
195,10/12/2010,AAPL,8.0
196,10/13/2010,AAPL,8.0
197,10/14/2010,AAPL,8.0
198,10/15/2010,AAPL,8.0
199,10/18/2010,AAPL,9.0
200,10/19/2010,AAPL,8.0
201,10/20/2010,AAPL,8.0
202,10/21/2010,AAPL,8.0
203,10/22/2010,AAPL,8.0
204,10/25/2010,AAPL,8.0
205,10/26/2010,AAPL,8.0
206,10/27/2010,AAPL,8.0
207,10/28/2010,AAPL,8.0
208,10/29/2010,AAPL,8.0
209,11/1/2010,AAPL,8.0
210,11/2/2010,AAPL,8.0
211,11/3/2010,AAPL,8.0
212,11/4/2010,AAPL,9.0
213,11/5/2010,AAPL,9.0
214,11/8/2010,AAPL,9.0
215,11/9/2010,AAPL,9.0
216,11/10/2010,AAPL,9.0
217,11/11/2010,AAPL,9.0
218,11/12/2010,AAPL,8.0
219,11/15/2010,AAPL,8.0
220,11/16/2010,AAPL,8.0
221,11/17/2010,AAPL,8.0
222,11/18/2010,AAPL,8.0
223,11/19/2010,AAPL,8.0
224,11/22/2010,AAPL,8.0
225,11/23/2010,AAPL,8.0
226,11/24/2010,AAPL,8.0
227,11/26/2010,AAPL,9.0
228,11/29/2010,AAPL,9.0
229,11/30/2010,AAPL,8.0
230,12/1/2010,AAPL,9.0
231,12/2/2010,AAPL,9.0
232,12/3/2010,AAPL,9.0
233,12/6/2010,AAPL,9.0
234,12/7/2010,AAPL,9.0
235,12/8/2010,AAPL,9.0
236,12/9/2010,AAPL,9.0
237,12/10/2010,AAPL,9.0
238,12/13/2010,AAPL,9.0
239,12/14/2010,AAPL,9.0
240,12/15/2010,AAPL,9.0
241,12/16/2010,AAPL,9.0
242,12/17/2010,AAPL,9.0
243,12/20/2010,AAPL,9.0
244,12/21/2010,AAPL,9.0
245,12/22/2010,AAPL,9.0
246,12/23/2010,AAPL,9.0
247,12/27/2010,AAPL,9.0
248,12/28/2010,AAPL,9.0
249,12/29/2010,AAPL,9.0
250,12/30/2010,AAPL,9.0
251,12/31/2010,AAPL,9.0
252,1/3/2011,AAPL,9.0
253,1/4/2011,AAPL,9.0
254,1/5/2011,AAPL,9.0
255,1/6/2011,AAPL,9.0
256,1/7/2011,AAPL,9.0
257,1/10/2011,AAPL,9.0
258,1/11/2011,AAPL,9.0
259,1/12/2011,AAPL,9.0
260,1/13/2011,AAPL,9.0
261,1/14/2011,AAPL,9.0
262,1/18/2011,AAPL,9.0
263,1/19/2011,AAPL,9.0
264,1/20/2011,AAPL,9.0
265,1/21/2011,AAPL,9.0
266,1/24/2011,AAPL,9.0
267,1/25/2011,AAPL,9.0
268,1/26/2011,AAPL,9.0
269,1/27/2011,AAPL,9.0
270,1/28/2011,AAPL,9.0
271,1/31/2011,AAPL,9.0
272,2/1/2011,AAPL,9.0
273,2/2/2011,AAPL,9.0
274,2/3/2011,AAPL,9.0
275,2/4/2011,AAPL,9.0
276,2/7/2011,AAPL,10.0
277,2/8/2011,AAPL,10.0
278,2/9/2011,AAPL,10.0
279,2/10/2011,AAPL,10.0
280,2/11/2011,AAPL,10.0
281,2/14/2011,AAPL,10.0
282,2/15/2011,AAPL,10.0
283,2/16/2011,AAPL,10.0
284,2/17/2011,AAPL,10.0
285,2/18/2011,AAPL,10.0
286,2/22/2011,AAPL,9.0
287,2/23/2011,AAPL,9.0
288,2/24/2011,AAPL,9.0
289,2/25/2011,AAPL,9.0
290,2/28/2011,AAPL,10.0
291,3/1/2011,AAPL,9.0
292,3/2/2011,AAPL,10.0
293,3/3/2011,AAPL,10.0
294,3/4/2011,AAPL,10.0
295,3/7/2011,AAPL,10.0
296,3/8/2011,AAPL,10.0
297,3/9/2011,AAPL,10.0
298,3/10/2011,AAPL,9.0
299,3/11/2011,AAPL,10.0
300,3/14/2011,AAPL,10.0
301,3/15/2011,AAPL,9.0
302,3/16/2011,AAPL,9.0
303,3/17/2011,AAPL,9.0
304,3/18/2011,AAPL,9.0
305,3/21/2011,AAPL,9.0
306,3/22/2011,AAPL,9.0
307,3/23/2011,AAPL,9.0
308,3/24/2011,AAPL,9.0
309,3/25/2011,AAPL,10.0
310,3/28/2011,AAPL,10.0
311,3/29/2011,AAPL,10.0
312,3/30/2011,AAPL,9.0
313,3/31/2011,AAPL,9.0
314,4/1/2011,AAPL,9.0
315,4/4/2011,AAPL,9.0
316,4/5/2011,AAPL,9.0
317,4/6/2011,AAPL,9.0
318,4/7/2011,AAPL,9.0
319,4/8/2011,AAPL,9.0
320,4/11/2011,AAPL,9.0
321,4/12/2011,AAPL,9.0
322,4/13/2011,AAPL,9.0
323,4/14/2011,AAPL,9.0
